algorithm,project_env,seed,train_step,status,eval_return,n_repeats
ppo,cartpole_swingup,2,10000,completed,13.572755495707193,3
ppo,cartpole_swingup,2,15000,completed,6.380411783854167,3
ppo,cartpole_swingup,2,19999,completed,24.76723035176595,3
ppo,cartpole_swingup,3,0,completed,48.78025436401367,3
ppo,cartpole_swingup,3,5000,completed,77.83409118652344,3
ppo,cartpole_swingup,3,10000,completed,98.94408671061198,3
ppo,cartpole_swingup,3,15000,completed,91.23313903808594,3
ppo,cartpole_swingup,3,19999,completed,99.92553965250652,3
ppo,cartpole_swingup,4,0,completed,29.402257919311523,3
ppo,cartpole_swingup,4,5000,completed,64.92419942220052,3
ppo,cartpole_swingup,4,10000,completed,52.49709701538086,3
ppo,cartpole_swingup,4,15000,completed,77.87431081136067,3
ppo,cartpole_swingup,4,19999,completed,88.67115529378255,3
sac,acrobot_swingup,0,0,completed,0.07412647917777444,3
sac,acrobot_swingup,0,5000,completed,0.01224917980986596,3
sac,acrobot_swingup,0,10000,completed,0.22945238991330064,3
sac,acrobot_swingup,0,15000,completed,1.5321882048890952e-05,3
sac,acrobot_swingup,0,19999,completed,0.09226348375777298,3
sac,acrobot_swingup,1,0,completed,1.427665111919244,3
sac,acrobot_swingup,1,5000,completed,9.105187728830495,3
sac,acrobot_swingup,1,10000,completed,0.427948971645026,3
sac,acrobot_swingup,1,15000,completed,4.353582615925006,3
sac,acrobot_swingup,1,19999,completed,0.4844073406501212,3
sac,acrobot_swingup,2,0,completed,0.7521231581935871,3
sac,acrobot_swingup,2,5000,completed,0.531804821921078,3
sac,acrobot_swingup,2,10000,completed,4.016092493904731,3
sac,acrobot_swingup,2,15000,completed,0.7268505846150219,3
sac,acrobot_swingup,2,19999,completed,13.079140909016132,3
sac,acrobot_swingup,3,0,completed,5.52005669270532,3
sac,acrobot_swingup,3,5000,completed,0.24713228022058806,3
sac,acrobot_swingup,3,10000,completed,0.29056281874117457,3
sac,acrobot_swingup,3,15000,completed,2.858431093009241,3
sac,acrobot_swingup,3,19999,completed,0.8779928286870321,3
sac,acrobot_swingup,4,0,completed,29.12541149308284,3
sac,acrobot_swingup,4,5000,completed,2.2131932651003203,3
sac,acrobot_swingup,4,10000,completed,0.057414871520582715,3
sac,acrobot_swingup,4,15000,completed,0.269059039638402,3
sac,acrobot_swingup,4,19999,completed,0.12793020769428645,3
sac,car_racing_continuous,0,1000,completed,-28.22152910284859,3
sac,car_racing_continuous,0,2000,completed,-17.73554490158994,3
sac,car_racing_continuous,0,3000,completed,-28.50978107281648,3
sac,car_racing_continuous,0,4000,completed,-23.657105045796726,3
sac,car_racing_continuous,0,5000,completed,-22.116784578787904,3
sac,car_racing_continuous,0,6000,completed,-29.715405698493925,3
sac,car_racing_continuous,0,7000,completed,-32.62732541966219,3
sac,car_racing_continuous,0,8000,completed,-34.704439248494786,3
sac,car_racing_continuous,0,9000,completed,-32.8647086220226,3
sac,car_racing_continuous,0,10000,completed,-37.10638241708032,3
sac,car_racing_continuous,1,1000,completed,-35.71234582215406,3
sac,car_racing_continuous,1,2000,completed,-20.24724226447622,3
sac,car_racing_continuous,1,3000,completed,-30.04938269802651,3
sac,car_racing_continuous,1,4000,completed,-6.732729413554743,3
sac,car_racing_continuous,1,5000,completed,-30.49773560955671,3
sac,car_racing_continuous,1,6000,completed,-19.94372148396615,3
sac,car_racing_continuous,1,7000,completed,-17.444813405472676,3
sac,car_racing_continuous,1,8000,completed,-29.853454176109352,3
sac,car_racing_continuous,1,9000,completed,-33.84656070401818,3
sac,car_racing_continuous,1,10000,completed,-29.749103942652354,3
sac,car_racing_continuous,2,1000,completed,-5.452035886818476,3
sac,car_racing_continuous,2,2000,completed,-28.143714250534448,3
sac,car_racing_continuous,2,3000,completed,-15.034532883503013,3
sac,car_racing_continuous,2,4000,completed,-29.287666459035904,3
sac,car_racing_continuous,2,5000,completed,-32.60626664319385,3
sac,car_racing_continuous,2,6000,completed,-18.466264797845756,3
sac,car_racing_continuous,2,7000,completed,-14.40229924279518,3
sac,car_racing_continuous,2,8000,completed,-29.08850202213576,3
sac,car_racing_continuous,2,9000,completed,-26.030488843467797,3
sac,car_racing_continuous,2,10000,completed,1.8988054992114964,3
sac,car_racing_continuous,3,1000,completed,1.359203050273014,3
sac,car_racing_continuous,3,2000,completed,-28.835500207365428,3
sac,car_racing_continuous,3,3000,completed,-16.2872581746753,3
sac,car_racing_continuous,3,4000,completed,-13.229235899031996,3
sac,car_racing_continuous,3,5000,completed,-18.350935949532502,3
sac,car_racing_continuous,3,6000,completed,-21.152888288531397,3
sac,car_racing_continuous,3,7000,completed,-29.218682925170196,3
sac,car_racing_continuous,3,8000,completed,-18.292472460687836,3
sac,car_racing_continuous,3,9000,completed,-14.654643468202616,3
sac,car_racing_continuous,3,10000,completed,-34.21754034679368,3
sac,car_racing_continuous,4,1000,completed,-0.3790771183520434,3
sac,car_racing_continuous,4,2000,completed,-26.184814289652866,3
sac,car_racing_continuous,4,3000,completed,-24.12015052610016,3
sac,car_racing_continuous,4,4000,completed,-15.542441501406529,3
sac,car_racing_continuous,4,5000,completed,-11.869145481706829,3
sac,car_racing_continuous,4,6000,completed,-27.741026356996503,3
sac,car_racing_continuous,4,7000,completed,-17.399558178959378,3
sac,car_racing_continuous,4,8000,completed,-14.470363484183238,3
sac,car_racing_continuous,4,9000,completed,-27.680507830858645,3
sac,car_racing_continuous,4,10000,completed,-26.524662343538694,3
sac,cartpole_swingup,0,0,completed,2.3668465614318848,3
sac,cartpole_swingup,0,5000,completed,1.0547930995623271,3
sac,cartpole_swingup,0,10000,completed,154.2059071858724,3
sac,cartpole_swingup,0,15000,completed,291.68364969889325,3
sac,cartpole_swingup,0,19999,completed,247.37085469563803,3
sac,cartpole_swingup,1,0,completed,10.968272686004639,3
sac,cartpole_swingup,1,5000,completed,1.7725948890050252,3
sac,cartpole_swingup,1,10000,completed,38.32125727335612,3
sac,cartpole_swingup,1,15000,completed,193.38188680013022,3
sac,cartpole_swingup,1,19999,completed,258.78758239746094,3
sac,cartpole_swingup,2,0,completed,0.08935274432102834,3
sac,cartpole_swingup,2,5000,completed,0.23280439774195352,3
sac,cartpole_swingup,2,10000,completed,199.2751922607422,3
sac,cartpole_swingup,2,15000,completed,266.48398844401044,3
sac,cartpole_swingup,2,19999,completed,347.4502461751302,3
sac,cartpole_swingup,3,0,completed,18.337089856465656,3
sac,cartpole_swingup,3,5000,completed,1.2777960871656735,3
sac,cartpole_swingup,3,10000,completed,213.47735595703125,3
sac,cartpole_swingup,3,15000,completed,226.16708374023438,3
sac,cartpole_swingup,3,19999,completed,192.43741861979166,3
sac,cartpole_swingup,4,0,completed,30.151602427164715,3
sac,cartpole_swingup,4,5000,completed,0.5937100052833557,3
sac,cartpole_swingup,4,10000,completed,129.27196884155273,3
sac,cartpole_swingup,4,15000,completed,373.02691650390625,3
sac,cartpole_swingup,4,19999,completed,369.8721516927083,3
td3,acrobot_swingup,0,0,completed,0.017996568691350766,3
td3,acrobot_swingup,0,5000,completed,0.021379992812095804,3
td3,acrobot_swingup,0,10000,completed,0.08049382680716606,3
td3,acrobot_swingup,0,15000,completed,27.543385827632623,3
td3,acrobot_swingup,0,19999,completed,22.896653064046273,3
td3,acrobot_swingup,1,0,completed,8.296169092257818,3
